prefix,number_of_sites,backing_prefix
2001:1258::/48,3,2001:1258::/32
2001:12f8:2::/48,3,2001:12f8:2::/48
2001:12f8:4::/48,5,2001:12f8:4::/48
2001:12f8:8::/48,4,2001:12f8:8::/48
2001:12f8:c::/48,3,2001:12f8:c::/48
2001:1398:276::/48,2,2001:1398:276::/48
2001:13c7:7000::/48,2,2001:13c7:7000::/48
2001:148f:fffd::/48,11,2001:148f:fffd::/48
2001:18b8:a114::/48,10,2001:18b8:a114::/48
2001:1960::/48,3,2001:1960::/32
2001:1978:202::/48,2,2001:1978:202::/48
2001:1998:f00::/48,3,2001:1998::/32
2001:19f0:ccc::/48,30,2001:19f0:ccc::/48
2001:19f0:ccd::/48,30,2001:19f0:ccd::/48
2001:200:c000::/48,3,2001:200:c000::/35
2001:240::/48,3,2001:240::/32
2001:400:ffff::/48,2,2001:400::/32
2001:41d0:aaaa::/48,8,2001:41d0::/32
2001:4478:fe00::/48,3,2001:4478::/32
2001:450:2005::/48,5,2001:450::/32
2001:470:100::/48,8,2001:470::/32
2001:470:200::/48,9,2001:470::/32
2001:470:20::/48,15,2001:470::/32
2001:470:300::/48,9,2001:470::/32
2001:470:400::/48,9,2001:470::/32
2001:470:500::/48,9,2001:470::/32
2001:4860:3::/48,20,2001:4860::/32
2001:4860:4802::/48,20,2001:4860::/32
2001:4860:4806::/48,7,2001:4860::/32
2001:4860:4860::/48,20,2001:4860::/32
2001:4860:4864::/48,20,2001:4860:4864::/48
2001:4860:6::/48,20,2001:4860::/32
2001:4998:160::/48,12,2001:4998:160::/48
2001:4998:170::/48,12,2001:4998:170::/48
2001:4998:180::/48,13,2001:4998:180::/48
2001:4998:1b0::/48,8,2001:4998:1b0::/48
2001:4998:1c0::/48,9,2001:4998:1c0::/48
2001:4d8f:2::/48,5,2001:4d8f::/32
2001:500:120::/48,4,2001:500:120::/48
2001:500:121::/48,6,2001:500:121::/48
2001:500:122::/48,6,2001:500:122::/48
2001:500:123::/48,10,2001:500:123::/48
2001:500:124::/48,4,2001:500:124::/48
2001:500:125::/48,6,2001:500:125::/48
2001:500:126::/48,6,2001:500:126::/48
2001:500:127::/48,10,2001:500:127::/48
2001:500:14::/48,22,2001:500:14::/48
2001:500:17::/48,5,2001:500:17::/48
2001:500:1::/48,8,2001:500:1::/48
2001:500:1b::/48,5,2001:500:1b::/48
2001:500:1c::/48,6,2001:500:1c::/48
2001:500:1d::/48,5,2001:500:1d::/48
2001:500:1e::/48,4,2001:500:1e::/48
2001:500:200::/48,3,2001:500:200::/48
2001:500:20::/48,5,2001:500:20::/48
2001:500:21::/48,5,2001:500:21::/48
2001:500:22::/48,2,2001:500:22::/48
2001:500:23::/48,5,2001:500:23::/48
2001:500:24::/48,5,2001:500:24::/48
2001:500:25::/48,5,2001:500:25::/48
2001:500:26::/48,4,2001:500:26::/48
2001:500:27::/48,5,2001:500:27::/48
2001:500:28::/48,6,2001:500:28::/48
2001:500:2::/48,8,2001:500:2::/48
2001:500:2c::/48,4,2001:500:2c::/48
2001:500:2d::/48,21,2001:500:2d::/48
2001:500:2f::/48,27,2001:500:2f::/48
2001:500:3682::/48,16,2001:500:3682::/48
2001:500:3::/48,14,2001:500:3::/48
2001:500:40::/48,7,2001:500:40::/48
2001:500:41::/48,7,2001:500:41::/48
2001:500:42::/48,7,2001:500:42::/48
2001:500:43::/48,7,2001:500:43::/48
2001:500:44::/48,7,2001:500:44::/48
2001:500:46::/48,7,2001:500:46::/48
2001:500:47::/48,7,2001:500:47::/48
2001:500:48::/48,7,2001:500:48::/48
2001:500:49::/48,7,2001:500:49::/48
2001:500:4a::/48,7,2001:500:4a::/48
2001:500:4b::/48,7,2001:500:4b::/48
2001:500:4c::/48,7,2001:500:4c::/48
2001:500:4e::/48,7,2001:500:4e::/48
2001:500:4f::/48,7,2001:500:4f::/48
2001:500:53::/48,5,2001:500:53::/48
2001:500:55::/48,5,2001:500:55::/48
2001:500:7d::/48,22,2001:500:7d::/48
2001:500:83::/48,22,2001:500:83::/48
2001:500:84::/48,4,2001:500:84::/48
2001:500:856e::/48,5,2001:500:856e::/48
2001:500:86::/48,3,2001:500:86::/48
2001:500:87::/48,3,2001:500:87::/48
2001:500:88::/48,2,2001:500:88::/48
2001:500:89::/48,2,2001:500:89::/48
2001:500:8d::/48,2,2001:500:8d::/48
2001:500:8f::/48,2,2001:500:8f::/48
2001:500:9f::/48,15,2001:500:9f::/48
2001:500:a0::/48,2,2001:500:a0::/48
2001:500:a2::/48,3,2001:500:a2::/48
2001:500:a3::/48,3,2001:500:a3::/48
2001:500:a4::/48,4,2001:500:a4::/48
2001:500:a5::/48,2,2001:500:a5::/48
2001:500:a7::/48,7,2001:500:a7::/48
2001:500:a8::/48,15,2001:500:a8::/48
2001:500:b::/48,5,2001:500:b::/48
2001:500:c0::/48,5,2001:500:c0::/48
2001:500:c1::/48,5,2001:500:c1::/48
2001:500:d0::/48,5,2001:500:d0::/48
2001:500:d1::/48,6,2001:500:d1::/48
2001:500:d937::/48,6,2001:500:d937::/48
2001:500:d::/48,5,2001:500:d::/48
2001:500:e0::/48,7,2001:500:e0::/48
2001:500:e1::/48,7,2001:500:e1::/48
2001:500:e::/48,5,2001:500:e::/48
2001:500:f0::/48,2,2001:500:f0::/48
2001:500:f::/48,5,2001:500:f::/48
2001:501:b1f9::/48,6,2001:501:b1f9::/48
2001:502:100e::/48,18,2001:502:100e::/48
2001:502:1ca1::/48,5,2001:502:1ca1::/48
2001:502:2eda::/48,16,2001:502:2eda::/48
2001:502:4612::/48,18,2001:502:4612::/48
2001:502:7094::/48,6,2001:502:7094::/48
2001:502:8cc::/48,6,2001:502:8cc::/48
2001:502:ad09::/48,17,2001:502:ad09::/48
