prefix,GCD_ICMPv6,GCD_TCPv6,AB_ICMPv6,AB_TCPv6,AB_DNSv6,backing_prefix,ASN
2001:1201:10::/48,2.0,1.0,1.0,1.0,1.0,2001:1201:10::/48,27661
2001:1201::/48,3.0,2.0,2.0,2.0,2.0,2001:1201::/48,28498
2001:1218:600d::/48,1.0,1.0,2.0,2.0,0.0,2001:1218:600d::/48,278
2001:1218:6035::/48,1.0,1.0,2.0,2.0,0.0,2001:1218:6035::/48,278
2001:1218:c01::/48,1.0,1.0,2.0,1.0,2.0,2001:1218::/32,278
2001:1250:1000::/48,1.0,1.0,2.0,1.0,2.0,2001:1250:1000::/44,22894
2001:1250:a000::/48,2.0,1.0,3.0,2.0,3.0,2001:1250:a000::/44,28511_22894
2001:1250:b000::/48,1.0,1.0,3.0,2.0,2.0,2001:1250:b000::/44,22894
2001:1250:c000::/48,2.0,1.0,3.0,2.0,3.0,2001:1250:c000::/44,28511_22894
2001:1250:fe00::/48,1.0,1.0,1.0,2.0,0.0,2001:1250:fe00::/48,28511
2001:1250:ffe0::/48,1.0,1.0,1.0,2.0,0.0,2001:1250:ffe0::/44,22894
2001:1258::/48,2.0,2.0,2.0,2.0,2.0,2001:1258::/32,28499
2001:12f8:2::/48,3.0,0.0,3.0,0.0,3.0,2001:12f8:2::/48,12136
2001:12f8:4::/48,5.0,0.0,4.0,0.0,4.0,2001:12f8:4::/48,11644
2001:12f8:8::/48,3.0,0.0,3.0,0.0,3.0,2001:12f8:8::/48,10906
2001:12f8:a::/48,2.0,0.0,2.0,0.0,2.0,2001:12f8:a::/48,11284
2001:12f8:c::/48,4.0,0.0,4.0,0.0,4.0,2001:12f8:c::/48,14650
2001:1398:121::/48,5.0,0.0,4.0,0.0,3.0,2001:1398:121::/48,52304
2001:1398:274::/48,2.0,0.0,2.0,0.0,2.0,2001:1398:274::/48,52234
2001:1398:275::/48,2.0,0.0,2.0,0.0,2.0,2001:1398:275::/48,52306
2001:1398:276::/48,2.0,0.0,2.0,0.0,2.0,2001:1398:276::/48,52305
2001:13b4:2401::/48,3.0,0.0,3.0,0.0,0.0,2001:13b4::/32,3356
2001:13c7:7000::/48,2.0,1.0,3.0,3.0,3.0,2001:13c7:7000::/48,28498
2001:13c7:7010::/48,4.0,1.0,5.0,1.0,5.0,2001:13c7:7010::/48,52224
2001:13c7:7012::/48,4.0,1.0,5.0,1.0,5.0,2001:13c7:7012::/48,52224
2001:148f:fffb::/48,7.0,0.0,6.0,0.0,6.0,2001:148f:fffb::/48,25192_200070
2001:148f:fffd::/48,11.0,0.0,7.0,0.0,7.0,2001:148f:fffd::/48,25192_200070
2001:14b8:1000::/48,1.0,0.0,2.0,0.0,1.0,2001:14b8::/29,16086
2001:14b8:1800::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:3aca::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:4701::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:6f01::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:7f::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:9ca6::/48,1.0,1.0,1.0,3.0,0.0,2001:14b8::/29,16086
2001:14ba:9ccc::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a022::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a031::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a066::/48,1.0,0.0,3.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a06f::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a0aa::/48,1.0,1.0,1.0,2.0,0.0,2001:14b8::/29,16086
2001:14ba:a0b5::/48,1.0,1.0,1.0,3.0,0.0,2001:14b8::/29,16086
2001:14ba:a0f4::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a304::/48,0.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a49d::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:14ba:a702::/48,1.0,0.0,2.0,0.0,0.0,2001:14b8::/29,16086
2001:1548:203::/48,1.0,1.0,1.0,2.0,0.0,2001:1548::/29,8280
2001:1548:206::/48,1.0,1.0,2.0,1.0,0.0,2001:1548:206::/48,206804
2001:1548:8280::/48,1.0,1.0,2.0,1.0,0.0,2001:1548::/29,8280
2001:1700:1600::/48,1.0,1.0,1.0,2.0,0.0,2001:1700::/28,6730
2001:1700:a00::/48,1.0,0.0,1.0,0.0,2.0,2001:1700::/28,6730
2001:1702:32::/48,1.0,1.0,1.0,2.0,0.0,2001:1700::/28,6730
2001:1704:1::/48,1.0,0.0,2.0,0.0,0.0,2001:1700::/28,6730
2001:1708:4100::/48,1.0,0.0,2.0,0.0,0.0,2001:1700::/28,6730
2001:1715:4e2d::/48,1.0,0.0,2.0,0.0,0.0,2001:1700::/27,6730
2001:171c:3300::/48,1.0,0.0,2.0,0.0,0.0,2001:1700::/27,6730
2001:1838:3000::/48,2.0,1.0,1.0,1.0,0.0,2001:1838:3000::/40,23352
2001:1868:102::/48,1.0,1.0,1.0,3.0,0.0,2001:1868::/32,11404
2001:1890:fff::/48,2.0,0.0,0.0,0.0,0.0,2001:1890::/29,7018
2001:18b8:a114::/48,16.0,0.0,11.0,0.0,0.0,2001:18b8:a114::/48,29789
2001:1900:22b3::/48,10.0,0.0,6.0,0.0,0.0,2001:1900::/32,3356
2001:1960::/48,5.0,0.0,1.0,0.0,1.0,2001:1960::/32,5650
2001:1978:1500::/48,1.0,0.0,2.0,0.0,0.0,2001:1978:1500::/40,13768
2001:1978:202::/48,2.0,0.0,1.0,0.0,1.0,2001:1978:202::/48,13768
2001:1998:840::/48,1.0,1.0,2.0,2.0,0.0,2001:1998::/32,7843
2001:1998:890::/48,1.0,1.0,2.0,1.0,0.0,2001:1998:890::/44,8052
2001:1998:aff::/48,4.0,0.0,1.0,0.0,0.0,2001:1998::/32,7843
2001:1998:f00::/48,2.0,0.0,0.0,0.0,0.0,2001:1998::/32,7843
2001:19f0:ccc::/48,30.0,31.0,32.0,32.0,32.0,2001:19f0:ccc::/48,20473
2001:19f0:ccd::/48,31.0,32.0,32.0,32.0,32.0,2001:19f0:ccd::/48,20473
2001:19f0:ffff::/48,32.0,32.0,32.0,32.0,0.0,2001:19f0:ffff::/48,20473
2001:1a38:37::/48,1.0,1.0,1.0,2.0,1.0,2001:1a38::/32,34081
2001:1a38:6::/48,1.0,1.0,2.0,1.0,0.0,2001:1a38::/32,34081
2001:1a98::/48,1.0,0.0,2.0,0.0,0.0,2001:1a98::/29,6677
2001:1b58:1::/48,1.0,1.0,2.0,2.0,0.0,2001:1b58::/29,35283
2001:1c00:2414::/48,1.0,0.0,2.0,0.0,0.0,2001:1c00::/24,33915
2001:1c00:5395::/48,1.0,1.0,2.0,1.0,1.0,2001:1c00::/24,33915
2001:1c00:a68a::/48,1.0,1.0,2.0,1.0,0.0,2001:1c00::/24,33915
2001:1c00:a800::/48,1.0,1.0,1.0,2.0,0.0,2001:1c00::/24,33915
2001:1c00:ae00::/48,1.0,0.0,2.0,0.0,0.0,2001:1c00::/24,33915
2001:1c00:bf00::/48,1.0,1.0,2.0,1.0,0.0,2001:1c00::/24,33915
2001:1c00:c000::/48,1.0,1.0,1.0,2.0,0.0,2001:1c00::/24,33915
2001:1c01:45c9::/48,1.0,1.0,1.0,2.0,0.0,2001:1c00::/24,33915
2001:1c01:4600::/48,1.0,1.0,2.0,1.0,0.0,2001:1c00::/24,33915
2001:1c01:900::/48,1.0,1.0,2.0,1.0,0.0,2001:1c00::/24,33915
2001:1c03:397::/48,1.0,0.0,2.0,0.0,0.0,2001:1c00::/24,33915
2001:1c03:500::/48,1.0,1.0,1.0,2.0,0.0,2001:1c00::/24,33915
2001:1c03:5a06::/48,1.0,0.0,2.0,0.0,0.0,2001:1c00::/24,33915
2001:1c03:628b::/48,1.0,1.0,1.0,2.0,0.0,2001:1c00::/24,33915
2001:1c03:6400::/48,1.0,1.0,1.0,2.0,0.0,2001:1c00::/24,33915
2001:1c03:b0e::/48,1.0,0.0,2.0,0.0,0.0,2001:1c00::/24,33915
2001:1c04:3900::/48,1.0,0.0,2.0,0.0,0.0,2001:1c00::/24,33915
